isbn,title,author,year
140297995,Austerlitz,"W.G. Sebald, Anthea Bell",2001
156097432X,Palestine,"Joe Sacco, Edward Said",1996
385534795,The Sandcastle Girls,Chris Bohjalian,2012
312861877,Xenocide,Orson Scott Card,1991
765340747,The Pillars of Creation,Terry Goodkind,2001
140284125,The Inimitable Jeeves ,P.G. Wodehouse,1923
380842939,Sacajawea,Anna Lee Waldo,1978
356508366,The Obelisk Gate,N.K. Jemisin,2016
345534182,Circling the Sun,Paula McLain,2015
670023485,Shadow of Night,Deborah Harkness,2012
743243781,Teacher Man,Frank McCourt,2005
1581344988,Don't Waste Your Life,John Piper,2003
375508325,Cosmos,Carl Sagan,1980
99297701,Hannibal,Thomas Harris,1999
045146317X,Changes,Jim Butcher,2010
140183523,Kim,"Rudyard Kipling, Edward Said",1901
739453823,Black Rose,Nora Roberts,2005
1596435712,Promised,Caragh M. O'Brien,2012
096319254X,Memnoch The Devil,Anne Rice,1995
553588451,Full Moon Rising,Keri Arthur,2006
159420571X,Everything I Never Told You,Celeste Ng,2014
1581345275,Piercing the Darkness,Frank E. Peretti,1989
1595143971,Across the Universe,Beth Revis,2011
307262995,Nature Girl,Carl Hiaasen,2006
60562536,Scandal in Spring,Lisa Kleypas,2006
312642970,Cress,Marissa Meyer,2014
1416938745,Assholes Finish First,Tucker Max,2008
743418174,Good in Bed,Jennifer Weiner,2001
451227190,Carpe Corpus,Rachel Caine,2009
689806981,Tears of a Tiger,Sharon M. Draper,1994
067122350X,Eloise,"Kay Thompson, Hilary Knight",1955
451076451,Rage,"Richard Bachman, Stephen King",1977
385494246,Amsterdam,Ian McEwan,1998
071483355X,The Story of Art,E.H. Gombrich,1950
230706150,Hell's Corner ,David Baldacci,2010
8188575704,I Too Had A Love Story,Ravinder Singh,2007
141185260,Pale Fire,Vladimir Nabokov,1962
160096527X,Orthodoxy,G.K. Chesterton,1908
439568412,One Day at Horrorland,R.L. Stine,1994
316196991,The House of Silk,Anthony Horowitz,2011
345548515,Staked,Kevin Hearne,2016
553589385,Kiss of Crimson ,Lara Adrian,2007
743296788,The Cold Moon,Jeffery Deaver,2006
375851798,The Spectacular Now,Tim Tharp,2008
571212921,A Beautiful Mind,Sylvia Nasar,1998
99417472,In the Night Kitchen,Maurice Sendak,1970
037570387X,The Autograph Man,Zadie Smith,2002
451466802,The Aeronaut's Windlass ,Jim Butcher,2015
316393878,The Wonder,Emma Donoghue,2016
054762834X,Grave Mercy,Robin LaFevers,2012
988573229,Truce,R.L. Mathewson,2013
375840400,Eldest,Christopher Paolini,2005
62280562,Tampa,Alissa Nutting,2013
345396936,Cry to Heaven,Anne Rice,1982
440241022,One Shot,Lee Child,2005
307279952,A Simple Plan,Scott B. Smith,1993
61493341,Telegraph Avenue,Michael Chabon,2012
743289684,Infidel,Ayaan Hirsi Ali,2006
312385188,Prayers for Sale,Sandra Dallas,1997
60774126,Bite Me If You Can,Lynsay Sands,2007
1599901676,Forest Born,Shannon Hale,2009
64472779,All-American Girl,Meg Cabot,2002
312979975,Fantasy Lover,Sherrilyn Kenyon,2002
449225151,A Place Called Freedom,Ken Follett,1995
758272820,Spark,Brigid Kemmerer,2012
553269216,Rainbow Valley,L.M. Montgomery,1919
671876813,Flag in Exile,David Weber,1995
525421033,If I Stay,Gayle Forman,2009
743449673,Shock Wave,Clive Cussler,1996
1573225517,High Fidelity,Nick Hornby,1995
425273865,Captivated by You,Sylvia Day,2014
316159794,Cross,James Patterson,2006
767905202,Mr Maybe,Jane Green,1999
802120202,Alif the Unseen,G. Willow Wilson,2012
425189864,Mortal Prey,John Sandford,2002
553588079,Gone,Lisa Gardner,2006
312370830,Elle s'appelait Sarah,Tatiana de Rosnay,2007
6174426,Windmills of the Gods,Sidney Sheldon,1987
385339100,The Partner,John Grisham,1997
345505697,Mystery,Jonathan Kellerman,2011
765310023,Deadhouse Gates,Steven Erikson,2000
743437810,The Vanished Man,Jeffery Deaver,2003
1400047463,The Double Bind,Chris Bohjalian,2007
375870415,Unspoken,Sarah Rees Brennan,2012
60890681,The Last Anniversary,Liane Moriarty,2006
042521575X,Visions of Heat,Nalini Singh,2007
399256601,The Name of the Star,Maureen Johnson,2011
61706558,I'd Know You Anywhere,Laura Lippman,2010
451167805,Firestarter,Stephen King,1980
752898477,An Echo in the Bone,Diana Gabaldon,2009
1682305066,Twisted Palace,Erin Watt,2016
812996089,Miller's Valley,Anna Quindlen,2016
553297260,Darkness,John Saul,1991
1841493139,The Magicians' Guild,Trudi Canavan,2001
747589372,Restless,William  Boyd,2006
330339184,The Informers,Bret Easton Ellis,1994
553582755,One Door Away from Heaven,Dean Koontz,2001
671011375,Death du Jour,Kathy Reichs,1999
679889175,First Test,Tamora Pierce,1999
1439199353,The Boston Girl,Anita Diamant,2014
307381463,Nefertiti,Michelle Moran,2007
446692638,Along Came a Spider,James Patterson,1993
1595143068,Last Sacrifice ,Richelle Mead,2010
61935123,Hidden,Sophie Jordan,2012
340863684,Tortured for Christ,Richard Wurmbrand,1940
142401765,Keeping the Moon,Sarah Dessen,1999
679736379,Sophie's Choice,William Styron,1979
62363239,A Head Full of Ghosts,Paul Tremblay,2015
61779814,The Body Finder,Kimberly Derting,2010
821780654,Jacob,Jacquelyn Frank,2006
087923573X,Swallows and Amazons,Arthur Ransome,1930
1501100130,Finders Keepers,Stephen King,2015
1484705270,Every Last Word,Tamara Ireland Stone,2015
312864590,Crossroads of Twilight,Robert Jordan,2003
736693416,The Elfstones Of Shannara,Terry Brooks,1982
671796666,The Jordan Rules,"Sam Smith, Doug Grud",1992
1416995587,We'll Always Have Summer,Jenny Han,2011
446556246,WAR,Sebastian Junger,2010
330487191,A House for Mr. Biswas,V.S. Naipaul,1961
1250010691,Necessary Lies,Diane Chamberlain,2013
1423109600,The Pigeon Wants a Puppy!,Mo Willems,2008
345366239,The Eight,Katherine Neville,1988
99642611,The Fourth Protocol,Frederick Forsyth,1984
374515360,The Complete Stories,Flannery O'Connor,1971
140911399X,A Week in Winter,Maeve Binchy,2012
446556823,Ecstasy Unveiled,Larissa Ione,2010
446676071,Message in a Bottle,Nicholas Sparks,1998
439228905,Black Beauty,Anna Sewell,1877
074327041X,Protect and Defend,Vince Flynn,2007
615417175,Providence,Jamie McGuire,2010
6472613,Master of the Game,Sidney Sheldon,1982
1416914285,City of Bones,Cassandra Clare,2007
439498821,Finding Cassie Crazy,Jaclyn Moriarty,2003
1476770387,Revival,Stephen King,2014
552152943,Moving Pictures,Terry Pratchett,1990
356502023,The Crimson Campaign,Brian  McClellan,2014
749955910,Celebrity in Death,J.D. Robb,2012
451230647,Twice Bitten ,Chloe Neill,2010
679732187,"Absalom, Absalom!",William Faulkner,1936
749928999,Kindred in Death ,J.D. Robb,2009
345418530,"Ogre, Ogre (Xanth, #5)",Piers Anthony,1982
1439148503,Under the Dome,Stephen King,2009
618562036,Empress Orchid,Anchee Min,2003
62282719,Bad Feminist ,Roxane Gay,2014
743426800,Inca Gold,Clive Cussler,1994
140003065X,A Fine Balance,Rohinton Mistry,1996
486452433,Jude the Obscure,Thomas Hardy,1895
1903434777,Herr der Diebe,Cornelia Funke,2000
345476999,The Mephisto Club,Tess Gerritsen,2006
399158022,Red Mist,Patricia Cornwell,2011
044101125X,The Other Wind,Ursula K. Le Guin,2001
1416989412,"Hush, Hush",Becca Fitzpatrick,2009
765375869,Lock In,John Scalzi,2014
547576722,We the Animals,Justin Torres,2011
1416503811,Heartbreaker,Julie Garwood,2000
435233076,Death of a Salesman,Arthur Miller,1949
1582344159,Hey Nostradamus!,Douglas Coupland,2003
142998192X,Everlasting,Alyson Noel,2011
312655479,How the Light Gets In,Louise Penny,2013
1250022061,The Long Way Home,Louise Penny,2014
811202054,Collected Poems,Dylan Thomas,1952
140283307,White Noise,Don DeLillo,1985
038572179X,Atonement,Ian McEwan,2001
399256504,Shelter,Harlan Coben,2011
525421351,Tenth Grade Bleeds,Heather Brewer,2009
006232540X,Depraved Heart,Patricia Cornwell,2015
1416580948,Kiss of a Demon King ,Kresley Cole,2009
312380755,Think Twice,Lisa Scottoline,2010
61783161,Eternal Kiss of Darkness,Jeaniene Frost,2010
778313654,One Breath Away,Heather Gudenkauf,2012
1937053415,Elixir,Jennifer L. Armentrout,2012
1416905855,Chains,Laurie Halse Anderson,2008
1400041201,Heat,Bill Buford,2006
074345300X,Bare Bones,Kathy Reichs,2003
679767959,Heartburn,Nora Ephron,1983
553579754,Fear Nothing ,Dean Koontz,1998
590224735,Kristy's Great Idea,Ann M. Martin,1986
345463153,The Fourth Hand,John Irving,2001
752876821,Evening Class,Maeve Binchy,1996
440244447,Midnight Rising,Lara Adrian,2008
1452440026,Barely Breathing,Rebecca Donovan,2012
451463072,Blood Cross,Faith Hunter,2010
375826696,Eragon,Christopher Paolini,2002
425093255,Five Little Pigs,Agatha Christie,1942
1442423684,UnWholly,Neal Shusterman,2012
61231428,Altar of Eden,James Rollins,2009
1612130585,Fifty Shades Darker,E.L. James,2011
374346674,Love Letters to the Dead,Ava Dellaira,2014
60888628,The Lords of the North,Bernard Cornwell,2006
553590154,Dime Store Magic,Kelley Armstrong,2004
451461525,Claimed By Shadow,Karen Chance,2007
62103733,Unraveling,Elizabeth Norris,2012
1612130291,Fifty Shades of Grey,E.L. James,2011
747263744,American Gods,Neil Gaiman,2001
1416983309,Tilt,Ellen Hopkins,2012
812968069,Snow Flower and the Secret Fan,Lisa See,2005
743294378,Bones to Ashes,Kathy Reichs,2007
451233328,Hard Bitten,Chloe Neill,2011
812550757,Speaker for the Dead,Orson Scott Card,1986
785100490,Marvels,"Kurt Busiek, Alex Ross",1993
076534825X,Spin,Robert Charles Wilson,2005
1405910216,On the Island,Tracey Garvis-Graves,2011
1439152780,The Distant Hours,Kate Morton,2010
60837640,Jinx,Meg Cabot,2007
307270742,Commencement,J. Courtney Sullivan,2009
446676438,When the Wind Blows,James Patterson,1998
316196487,Perfect Shadow,Brent Weeks,2011
000711933X,Death in the Clouds,Agatha Christie,1935
525953086,Fear Nothing,Lisa Gardner,2014
307700313,Some Luck,Jane Smiley,2014
99244721,Timeline,Michael Crichton,1999
097496090X,The Dead,James Joyce,1914
61015733,State of Fear,Michael Crichton,2004
1594488398,The Interestings,Meg Wolitzer,2013
778314189,Scent of Magic,Maria V. Snyder,2012
394758285,The Big Sleep,Raymond Chandler,1939
60519134,Savannah Blues,Mary Kay Andrews,2002
670026611,The Girl You Left Behind,Jojo Moyes,2012
571199976,Proof: A Play,David Auburn,2000
752852612,Red Harvest,Dashiell Hammett,1929
671522817,Braveheart,Randall Wallace,1995
99437961,Lullaby,Chuck Palahniuk,2002
771068719,The English Patient,Michael Ondaatje,1992
9793210605,Hafalan Shalat Delisa,Tere Liye,2005
1476730105,Beautiful Bastard,Christina Lauren,2013
316230812,We Need New Names,NoViolet Bulawayo,2013
385535144,The Racketeer,John Grisham,2012
586057242,The Complete Robot,Isaac Asimov,1982
670076082,Froi of the Exiles,Melina Marchetta,2011
1101883073,Lilac Girls,Martha Hall Kelly,2016
006212255X,The one I left behind,Jennifer McMahon,2013
1416927247,Divine Madness,Robert Muchamore,2006
441017800,On the Edge,Ilona Andrews,2009
60739495,Walk Two Moons,Sharon Creech,1994
385342047,Mini Shopaholic,Sophie Kinsella,2010
440221668,The Fiery Cross,Diana Gabaldon,2001
804140413,Food: A Love Story,Jim Gaffigan,2014
074347418X,Ransom,Julie Garwood,1999
345476131,The Third Secret,Steve Berry,2005
515121495,The List,Steve Martini,1997
60727217,The Black Lyon,Jude Deveraux,1980
771064861,Dear Life,Alice Munro,2012
425182134,Hammer of the Gods,Stephen Davis,1985
61176109,Power of Art,Simon Schama,2006
345915593,The World According to Garp,John Irving,1978
162704017X,Fixed on You,Laurelin Paige,2013
380792648,Subterranean,James Rollins,1999
451233182,Bite Club,Rachel Caine,2011
385533411,Solar,Ian McEwan,2010
1620610094,Opal,Jennifer L. Armentrout,2012
764224735,The Shunning,Beverly  Lewis,1997
1568650957,The Doomsday Conspiracy,Sidney Sheldon,1991
62072064,Through the Ever Night,Veronica Rossi,2013
307377040,Netherland,Joseph O'Neill,2008
425147584,Debt of Honor,Tom Clancy,1994
449214729,The Guns of Navarone,Alistair MacLean,1957
399156585,The Rembrandt Affair,Daniel Silva,2010
1857231384,Consider Phlebas,Iain M. Banks,1987
345519477,In Bed with a Highlander,Maya Banks,2011
618750436,The Lemonade War,Jacqueline Davies,2007
575088877,The Quantum Thief,Hannu Rajaniemi,2010
1416979182,Gone ,Lisa McMann,2010
345471172,On Mystic Lake,Kristin Hannah,1999
439568455,Stay Out of the Basement,R.L. Stine,1992
446500046,Kushiel's Mercy,Jacqueline Carey,2001
141439580,Emma,"Jane Austen, Fiona Stafford",1815
1451655789,Hothouse Flower,Lucinda Riley,2010
385733143,Small Steps,Louis Sachar,2006
375869026,Wonder,R.J. Palacio,2012
486424588,Women in Love,D.H. Lawrence,1920
553383051,Fevre Dream,George R.R. Martin,1982
856761222,Arsenic and Old Lace,Joseph Kesselring,1939
61134104,Bruiser,Neal Shusterman,2010
679436545,Taltos,"Anne Rice, Tim Curry",1994
312997191,Summer People,Elin Hilderbrand,2003
156512569X,Mudbound,Hillary Jordan,2008
152047387,So You Want to Be a Wizard,Diane Duane,1983
034549038X,The Dante Club,Matthew Pearl,2003
61573132,Bright Shiny Morning,James Frey,2008
425256227,Magic Breaks,Ilona Andrews,2014
340640146,Rose Madder,Stephen King,1995
451526570,Heart of Darkness,Joseph Conrad,1910
006074815X,Storm Island,Ken Follett,1978
553278029,A Great Deliverance,Elizabeth  George,1988
031237982X,Hunted,"P.C. Cast, Kristin Cast",2009
752865331,The Maltese Falcon,Dashiell Hammett,1930
385539088,China Rich Girlfriend,Kevin Kwan,2015
1595547169,Fireproof,Eric Wilson,2008
553268929,The Great Santini,Pat Conroy,1976
312934343,Dark Side of the Moon,Sherrilyn Kenyon,2006
451474708,Saint Anything,Sarah Dessen,2015
345459202,Big Stone Gap,Adriana Trigiani,2000
439672449,The Fire Within,Chris d'Lacey,2001
151012377,The Whistling Season,Ivan Doig,2006
1501106406,After Ever Happy,Anna Todd,2015
679744479,Written on the Body,Jeanette Winterson,1992
143035304,Birds of a Feather,Jacqueline Winspear,2004
446579920,The Choice,Nicholas Sparks,2007
62026518,The Crown of Embers,Rae Carson,2012
316225932,The Burning Room,Michael Connelly,2014
544920953,Good as Gone,Amy Gentry,2016
670019631,Shades of Grey,Jasper Fforde,2009
1595541209,The Visitation,Frank E. Peretti,1999
142000698,The Pearl of the World,John Steinbeck,1947
006232022X,The Black Widow,Daniel Silva,2016
1841498874,The Dragon's Path,Daniel Abraham,2011
593073894,Make Me,Lee Child,2015
1857988361,Stand on Zanzibar,John Brunner,1968
140135154,Ways of Seeing,John Berger,1972
1847445209,The Wicked Girls,Alex Marwood,2008
1416505067,Seven Ancient Wonders,Matthew Reilly,2005
575099127,House of Suns,Alastair Reynolds,2008
425137562,Silent Prey,John Sandford,1992
385339704,The Pelican Brief,John Grisham,1992
553807145,Relentless,Dean Koontz,2009
451207149,The Pillars of the Earth,Ken Follett,1989
031621762X,Cibola Burn,James S.A. Corey,2014
1101990260,The Widow,Fiona Barton,2016
545284104,Abandon,Meg Cabot,2011
60872985,Next,Michael Crichton,2006
61784788,The Devil Colony,James Rollins,2010
385739168,Passion,Lauren Kate,2011
9993911550,The Courts of Chaos,Roger Zelazny,1978
375834869,Scat,Carl Hiaasen,2009
553581554,The Killing Game,Iris Johansen,1999
684852586,The Body Snatchers,Jack Finney,1955
670024961,Mastery,Robert Greene,2012
553278002,The Icarus Agenda,Robert Ludlum,1988
345298349,Gorky Park,Martin Cruz Smith,1981
140156046,Libra ,Don DeLillo,1988
743474155,A Kingdom of Dreams ,Judith McNaught,1989
440222680,Fade Away,Harlan Coben,1996
99471434,Lasher,Anne Rice,1993
590133373,Mad About Madeline,Ludwig Bemelmans,1939
374239215,Purity,Jonathan Franzen,2015
689878575,Lioness Rampant,Tamora Pierce,1988
60744510,Midnight,Erin Hunter,2005
553582763,By the Light of the Moon,Dean Koontz,2002
544289595,The Crossover,Kwame Alexander,2014
316175676,The Snow Child,Eowyn Ivey,2012
1582433542,Jesus Land : A Memoir,Julia Scheeres,2005
451159535,Coma,Robin Cook,1977
375719202,Appointment in Samarra,John O'Hara,1933
1101874937,Lab Girl,Hope Jahren,2016
752863886,The Bourne Supremacy,Robert Ludlum,1986
1743342373,Lick,Kylie Scott,2013
671023187,Term Limits,Vince Flynn,1997
140003342X,Song of Solomon,Toni Morrison,1977
1416909834,No Talking,Andrew Clements,2007
395570352,Grandfather's Journey,Allen Say,1993
805090037,Bring Up the Bodies,Hilary Mantel,2012
1419717014,Old School,Jeff Kinney,2015
751525359,The Last Precinct,Patricia Cornwell,2000
446696110,The Guardian,Nicholas Sparks,2003
1461072514,Inescapable,Amy A. Bartol,2013
1416978933,The Hollow,Jessica Verday,2009
671021001,She's Come Undone,Wally Lamb,1992
009947915X,Life & Times of Michael K.,J.M. Coetzee,1983
670011835,After,Amy Efaw,2009
345419383,The Dolphins of Pern,Anne McCaffrey,1994
62024035,Divergent,Veronica Roth,2011
515141666,Dance of the Gods,Nora Roberts,2006
375836578,The Realm of Possibility,David Levithan,2004
031623107X,You Will Know Me,Megan Abbott,2016
735221081,The Couple Next Door,Shari Lapena,2016
1622662644,Opposition,Jennifer L. Armentrout,2014
312424671,Small Island,Andrea Levy,2004
763618985,The Tiger Rising,Kate DiCamillo,2001
446690449,Blood Work,Michael Connelly,1998
679879250,The Subtle Knife,Philip Pullman,1997
694006513,Jamberry,Bruce Degen,1982
552151696,Digital Fortress,Dan Brown,1998
140436588,Ivanhoe,Walter Scott,1819
802720870,Chain Reaction,Simone Elkeles,2011
1847376177,Storm Prey,John Sandford,2010
553580221,False Memory,Dean Koontz,1999
758278438,The Plum Tree,Ellen Marie Wiseman,2012
61843407,Labor Day,Joyce Maynard,2009
60525630,Rising storm,Erin Hunter,2005
545259088,Forever,Maggie Stiefvater,2011
312289510,The Christmas Shoes,Donna VanLiere,2001
689862229,Shiloh,Phyllis Reynolds Naylor,1991
143036432,Dark Fire,C.J. Sansom,2004
142402516,Looking for Alaska,John Green,2005
059044297X,An Itchy Day,Norman Bridwell,1963
451458443,Grave Peril,Jim Butcher,2001
1250052386,Lead,Kylie Scott,2014
312351623,Sugar Daddy,Lisa Kleypas,2007
394724550,Gift from the Sea,Anne Morrow Lindbergh,1955
380727501,Notes from a Small Island,Bill Bryson,1995
786817879,Artemis Fowl,Eoin Colfer,2001
446401056,Passion Unleashed,Larissa Ione,2009
439771242,A Corner of the Universe,Ann M. Martin,2002
805094598,Shadow and Bone,Leigh Bardugo,2012
345545834,Claim Me,J. Kenner,2013
1416563687,The White Queen,Philippa Gregory,2009
446615862,The Wedding,Nicholas Sparks,2003
425213382,Cause of Death,Patricia Cornwell,1996
553562738,Doomsday Book,Connie Willis,1992
60594527,Lost Horizon,James Hilton,1933
62011995,Starcrossed,Josephine Angelini,2011
755328949,The Cruelest Month,Louise Penny,2007
316001929,Cleopatra: A Life,Stacy Schiff,2006
356502422,Ancillary Mercy,Ann Leckie,2015
670011460,Something Like Fate,Susane Colasanti,2010
140255087,The Snow Leopard,Peter Matthiessen,1978
042523567X,Flirt,Laurell K. Hamilton,2009
450031063,Salem's Lot,Stephen King,1975
142407577,Heat,Mike Lupica,2006
425098087,Zodiac,Robert Graysmith,1986
300107897,Crush,Richard Siken,2005
141691420X,The Soldiers of Halla,D.J. MacHale,2009
385526350,Tell-All,Chuck Palahniuk,2010
440241014,The Enemy,Lee Child,2004
316225886,The Crossing,Michael Connelly,2015
425180964,The Bear and the Dragon,Tom Clancy,2000
1101886692,Sleeping Giants,Sylvain Neuvel,2016
037570342X,Family Matters,Rohinton Mistry,2001
312144075,The Samurai's Garden,Gail Tsukiyama,1994
770437850,Het diner,"Herman Koch, Sam Garrett",2009
312352565,A Fatal Grace,Louise Penny,2007
451222385,Midnight Alley,Rachel Caine,2007
330344951,Ross Poldark,Winston Graham,1945
449214192,Centennial,James A. Michener,1974
345338545,Follow the River,James Alexander Thom,1981
1619636077,Empire of Storms,Sarah J. Maas,2016
515135062,Three Fates,Nora Roberts,2002
786942460,The Crystal Shard,R.A. Salvatore,1988
393960420,Sister Carrie,Theodore Dreiser,1900
141357274,Girl Online,"Zoe Sugg, Siobhan Curham",2014
345539842,Morning Star,Pierce Brown,2016
316899984,"River, Cross My Heart",Breena Clarke,1999
006221635X,How to Love,Katie Cotugno,2013
425190455,Idoru,William Gibson,1996
553804685,Red Seas Under Red Skies,Scott Lynch,2007
618001905,King Leopold's Ghost,Adam Hochschild,1998
1402784031,Tiger's Curse,Colleen Houck,2011
1400031001,Any Human Heart,William  Boyd,2002
679743626,O Pioneers!,Willa Cather,1913
340830107,The Ship of Brides,Jojo Moyes,2005
1401215815,Joker,"Brian Azzarello, Lee Bermejo",2008
61720771,The Return: Nightfall,L.J. Smith,2009
1622660757,Origin,Jennifer L. Armentrout,2013
1476706123,Red Sparrow,Jason  Matthews,2013
743289412,Lisey's Story,Stephen King,2006
671732498,A Separate Reality,Carlos Castaneda,1968
083081650X,Knowing God,J.I. Packer,1973
399157573,Dust,Patricia Cornwell,2013
1101947136,Homegoing,Yaa Gyasi,2016
61779849,Desires of the Dead,Kimberly Derting,2011
1613125348,Unhinged,A.G. Howard,2014
380782332,Kiss an Angel ,Susan Elizabeth Phillips,1996
031253955X,Only Time Will Tell,Jeffrey Archer,2011
1565125606,Water for Elephants,Sara Gruen,2006
1400031605,Noises Off,Michael Frayn,1982
553381695,A Clash of Kings,George R.R. Martin,1998
99285045,A Moveable Feast,Ernest Hemingway,1964
1416543791,The First Commandment,Brad Thor,2007
141187166,On Photography,Susan Sontag,1973
044101819X,Silver Borne,Patricia Briggs,2010
9799625726,Supernova: Akar,Dee Lestari,2002
345423291,What We Keep ,Elizabeth Berg,1998
778325504,Twenty Wishes,Debbie Macomber,2008
192750976,Ramona the Pest,Beverly Cleary,1968
142401099,The Devil's Arithmetic,Jane Yolen,1988
316210900,Cross My Heart,James Patterson,2013
1250024633,Horde,Ann Aguirre,2013
743496310,Flowers in the Attic,V.C. Andrews,1979
451460413,Dies the Fire ,S.M. Stirling,2004
141009829,Forever Amber,Kathleen Winsor,1944
1416524304,Carrie,Stephen King,1974
449911608,Saint Maybe,Anne Tyler,1991
515132187,The Villa,Nora Roberts,2001
786813075,The Skin I'm In,Sharon G. Flake,1998
671774670,Mother of Pearl,Melinda Haynes,1999
62110837,The Golem and the Jinni,Helene Wecker,2013
525955100,Home ,Harlan Coben,2016
394800516,The Best Nest,P.D. Eastman,1968
399159371,The Witness,Nora Roberts,2012
743275012,Plain Truth,Jodi Picoult,2000
60724277,I'm OK-You're OK,Thomas A. Harris,1967
1599908441,Something Like Normal,Trish Doller,2012
1250022134,A Great Reckoning,Louise Penny,2016
60555955,Sushi for Beginners,Marian Keyes,2000
446607207,Tell Me Your Dreams,Sidney Sheldon,1998
316234559,Day 21,Kass Morgan,2014
345543858,Die Again,Tess Gerritsen,2014
140007780X,Einstein's Dreams,Alan Lightman,1992
593065700,The Affair,Lee Child,2011
743474163,Paradise,Judith McNaught,1991
1439153663,The Kitchen House,Kathleen Grissom,2010
7271212,Azincourt ,Bernard Cornwell,2008
6478964,Night Prey,John Sandford,1994
1409522016,Angel Fire,L.A. Weatherly,2011
425127583,The Mask,"Owen  West, Dean Koontz",1981
307959880,Benediction,Kent Haruf,2013
786938250,The Halfling's Gem,R.A. Salvatore,1990
981546269,The Second Ship,Richard   Phillips,2006
385737432,Liar & Spy,Rebecca Stead,2012
670035386,Make Way for Ducklings,Robert McCloskey,1941
62120395,The Son,Philipp Meyer,2012
99771810,American Pastoral,Philip Roth,1997
1844137872,Wall and Piece,Banksy,1988
486431681,Sult,"Knut Hamsun, George Egerton",1890
571169341,Arcadia,Tom Stoppard,1993
1477808701,Wayward,Blake Crouch,2013
553804693,The Republic of Thieves,Scott Lynch,2013
64440591,Frog and Toad All Year,Arnold Lobel,1976
671447548,Mornings on Horseback,David McCullough,1981
449912450,Arc de Triomphe,Erich Maria Remarque,1945
345522486,Hammered,Kevin Hearne,2011
373210361,The Iron Knight,Julie Kagawa,2011
679724532,The Gnostic Gospels,Elaine Pagels,1979
751514624,Different Seasons,Stephen King,1982
449221512,I is for Innocent,Sue Grafton,1992
804178429,Half the World,Joe Abercrombie,2015
051512608X,The Reef,Nora Roberts,1998
434017841,The Monsters of Templeton,Lauren Groff,2008
590930028,"No, David!",David Shannon,1998
802142400,Essays in Love,Alain de Botton,1993
316065765,The Blood of Flowers,Anita Amirrezvani,2007
190444248X,Drachenreiter,Cornelia Funke,1997
446579939,The Lucky One,Nicholas Sparks,2008
399244565,The Icebound Land,John Flanagan,2005
60882077,Queste,"Angie Sage, Mark Zug",2008
743496973,I Do (But I Don't),Cara Lockwood,2003
802142842,Cold Mountain,Charles Frazier,1997
034083384X,The Sleeping Doll,Jeffery Deaver,2007
439568471,Welcome to Dead House,R.L. Stine,1992
446354678,Memories of Midnight,Sidney Sheldon,1990
312989768,Nantucket Nights,Elin Hilderbrand,2002
142421715,Crossed,Ally Condie,2011
1416523723,"Billy Budd, Sailor",Herman Melville,1924
61797081,The Rising,Kelley Armstrong,2013
141692499X,Dragonsong ,Anne McCaffrey,1976
039916443X,Concealed in Death,J.D. Robb,2014
60935766,Harlequin,Bernard Cornwell,2000
1423101952,Hero,Perry Moore,2007
61245089,Halfway to the Grave,Jeaniene Frost,2007
1250045630,Sixth Grave on the Edge,Darynda Jones,2014
067173783X,The Lion's Lady,Julie Garwood,1988
470581786,Twilight and History,Nancy Reagin,2010
1476740488,One Tiny Lie,K.A. Tucker,2013
6498523,Hide and Seek,James Patterson,1995
174348495X,Kings Rising,C.S. Pacat,2016
1439156336,The Burning Wire,Jeffery Deaver,2010
425238199,No Place to Run,Maya Banks,2010
399155279,Heat Lightning,John Sandford,2008
62259652,Bird Box,Josh Malerman,2014
451200829,Love and War ,John Jakes,1984
734406940,The Arrival,Shaun Tan,2006
743454162,Turning Angel,Greg Iles,2005
312594445,Redeemed,"P.C. Cast, Kristin Cast",2014
380726297,Sacred,Dennis Lehane,1997
312947062,One Silent Night,Sherrilyn Kenyon,2008
441001866,Martin the Warrior,Brian Jacques,1993
543898083,The Awakening,Kate Chopin,1899
312546602,Retribution,Sherrilyn Kenyon,2011
1400067685,The Burgess Boys,Elizabeth Strout,2013
1594634475,Fates and Furies,Lauren Groff,2015
9380658674,Chanakya's Chant,Ashwin Sanghi,2010
307279464,A Walk in the Woods,Bill Bryson,1997
312641893,Cinder,Marissa Meyer,2012
307957276,The Beginner's Goodbye,Anne Tyler,2012
446677124,The Burden of Proof,Scott Turow,1990
439858038,Burning For Revenge,John Marsden,1997
786818697,The Pigeon Finds a Hot Dog!,Mo Willems,2004
802142109,Broken for You,Stephanie Kallos,2004
62081861,Ruthless,Sara Shepard,2011
375725768,Eventide,Kent Haruf,2004
7284977,The Gift,Cecelia Ahern,2008
1250000971,The Sins of the Father,Jeffrey Archer,2012
307596907,The Woman Upstairs,Claire Messud,2013
802123457,The Sympathizer,Viet Thanh Nguyen,2015
1593070950,Hellboy: Wake the Devil,Mike Mignola,1994
312939779,False Impression,Jeffrey Archer,2005
446547654,The Best of Me,Nicholas Sparks,2010
316059854,Body Surfing,Anita Shreve,2007
055381706X,The Surgeon,Tess Gerritsen,2001
983157227,Pure,Jennifer L. Armentrout,2012
395957753,The Robe,Lloyd C. Douglas,1942
1423168232,The Naturals,Jennifer Lynn Barnes,2013
886778441,River of Blue Fire,Tad Williams,1998
718155181,The Left Hand of God ,Paul  Hoffman,2010
61093327,Low Country,Anne Rivers Siddons,1998
